Titulo,Código,Estado,Tipo
Inicio de sesión,RF-001,Completado,Funcional
Creación de usuarios,RF-002,Completado,Funcional
Modificación de usuarios,RF-003,Completado,Funcional
Modificación de contraseña,RF-004,Completado,Funcional
Eliminación o deshabilitación de usuarios,RF-005,Completado,Funcional
Gestión de Áreas y Subáreas,RF-006,Completado,Funcional
Gestión de Actividades por Dirección,RF-011,Completado,Funcional
Gestión de Dirección,RF-007,Completado,Funcional
"Gestión de Actividades por Área ",RF-012,Completado,Funcional
Visualización de Gráficas por Dirección,RF-016,Completado,Funcional
Gestión de Participantes Internos,RF-013,Completado,Funcional
Visualización de Gráficas por Área,RF-015,Completado,Funcional
Gestión de acciones,RF-008,Completado,Funcional
Gestión de proyectos,RF-009,Completado,Funcional
Gestión de indicadores,RF-010,Completado,Funcional
Filtrado de Datos de Gráficas,RF-017,Completado,Funcional
Generación de Reportes,RF-018,Completado,Funcional
Registro de Asistencia,RF-014,Completado,Funcional